dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,N3.3+,7.020694440101846e-05,19,17,36,0.8679394004284404
lift,fields,en,A6,-0.00010685202063049319,20,22,42,0.8776143287523155
lift,fields,en,A1.2+,-2.4574139496408218e-05,24,26,50,0.887724827340783
lift,fields,en,A1.5.2+,-1.2039673538945274e-05,24,26,50,0.887724827340783
lift,fields,en,A1.7+,-7.138392511344028e-06,24,26,50,0.887724827340783
lift,fields,en,A11.1+,2.9368909391876263e-05,26,24,50,0.887724827340783
lift,fields,en,A12-,4.2166920160976056e-05,26,24,50,0.887724827340783
lift,fields,en,A13,-6.132352971043974e-06,24,26,50,0.887724827340783
lift,fields,en,A13.1,3.981248876885036e-06,26,24,50,0.887724827340783
lift,fields,en,A14,-1.8556081849069426e-05,24,26,50,0.887724827340783
lift,fields,en,A6.1+,-1.9057689181513084e-05,24,26,50,0.887724827340783
lift,fields,en,A7,6.001677469200165e-05,26,24,50,0.887724827340783
lift,fields,en,A7+,-3.516140605148235e-05,24,26,50,0.887724827340783
lift,fields,en,B2-,0.00033014164021444233,26,24,50,0.887724827340783
lift,fields,en,I1.1,-7.237599317539e-05,24,26,50,0.887724827340783
lift,fields,en,I2.1,-1.31389381974313e-05,24,26,50,0.887724827340783
lift,fields,en,I3.1-,-0.00012803233563171755,24,26,50,0.887724827340783
lift,fields,en,L1+,-0.00013100909331778397,24,26,50,0.887724827340783
lift,fields,en,N4,-2.708876904106987e-05,24,26,50,0.887724827340783
lift,fields,en,N5.1+c,3.013823213886014e-05,26,24,50,0.887724827340783
lift,fields,en,N5.1-,7.629014190214236e-05,26,24,50,0.887724827340783
lift,fields,en,Q1.2,-3.263403459403479e-05,24,26,50,0.887724827340783
lift,fields,en,S1.1.3+,9.359472543644054e-05,26,24,50,0.887724827340783
lift,fields,en,S1.1.3-,-2.1632879544373418e-05,24,26,50,0.887724827340783
lift,fields,en,S1.2,-1.0113858884742403e-05,24,26,50,0.887724827340783
lift,fields,en,S3.2,-0.0008660569636249791,24,26,50,0.887724827340783
lift,fields,en,S4f,-7.752826756687963e-05,24,26,50,0.887724827340783
lift,fields,en,T2-,-3.4247725176183764e-05,24,26,50,0.887724827340783
lift,fields,en,T3---,-4.0447184037585485e-05,24,26,50,0.887724827340783
lift,fields,en,X2.2+,-1.0599252576674161e-05,24,26,50,0.887724827340783
lift,fields,en,X3.4,-8.26185256614689e-05,24,26,50,0.887724827340783
lift,fields,en,Z1,-1.8957292211811383e-05,24,26,50,0.887724827340783
lift,fields,en,Z3,2.6398942807860916e-05,26,24,50,0.887724827340783
lift,fields,en,Z3c,-2.7577367970800555e-05,24,26,50,0.887724827340783
lift,fields,en,A11.1++,-0.0005570366041230736,3,4,7,1.0
lift,fields,en,A11.2-,-0.0004560989748375869,2,3,5,1.0
lift,fields,en,A13.4,1.717170651869449e-05,25,25,50,1.0
lift,fields,en,A13.6,1.3358613358783407e-05,25,25,50,1.0
lift,fields,en,A5.1,-1.546822492972645e-05,9,9,18,1.0
lift,fields,en,A5.2,-3.910513184529038e-06,12,12,24,1.0
lift,fields,en,A6.1,3.4398839866390916e-05,3,3,6,1.0
lift,fields,en,G2.1,-1.2288532804121235e-05,25,25,50,1.0
lift,fields,en,G2.1c,4.057249488340163e-08,2,2,4,1.0
lift,fields,en,I1.1+,-9.468923601230515e-05,4,5,9,1.0
lift,fields,en,I1.1-,-5.0132303617503535e-05,25,25,50,1.0
lift,fields,en,K3,-3.755665978219975e-05,11,11,22,1.0
lift,fields,en,K4,-5.945655350452397e-06,25,25,50,1.0
lift,fields,en,M4fn,6.055518644077455e-05,16,16,32,1.0
lift,fields,en,N3.7+,-6.526671923352698e-06,25,25,50,1.0
lift,fields,en,N5++,-6.8765635016264435e-06,25,25,50,1.0
lift,fields,en,N5---,-1.4910461924339514e-05,6,7,13,1.0
lift,fields,en,Q2.2-,6.69445984666506e-06,4,3,7,1.0
lift,fields,en,S1.2.2+,-2.976628816641859e-05,24,25,49,1.0
lift,fields,en,S1.2.2-,2.1512210534660958e-07,24,24,48,1.0
lift,fields,en,S2mf,3.32494321212935e-06,25,25,50,1.0
lift,fields,en,S5+++,-3.672153075499248e-06,25,25,50,1.0
lift,fields,en,S5c,-1.1171189833398818e-05,15,16,31,1.0
lift,fields,en,S7.2-,-0.00018410020170026747,3,4,7,1.0
lift,fields,en,S7.3+,0.0001674535071572875,3,3,6,1.0
lift,fields,en,T1.3-,-2.7025076624271736e-05,2,3,5,1.0
lift,fields,en,T3,-5.3774226484672004e-05,11,11,22,1.0
lift,fields,en,X2.2-,-0.00010453664101229622,25,25,50,1.0
lift,fields,en,X2.4+,4.760235498349335e-05,4,4,8,1.0
lift,fields,en,X9.2-,1.123341949344132e-05,25,25,50,1.0
lift,fields,en,Z3mf,6.465035018623436e-07,3,3,6,1.0
lift,fields,en,Z6,-2.221301919459903e-05,25,25,50,1.0
